	PTID,ADID,Description,Price,Vin,StockNo,OdoMeter,Thumbnail,ExteriorColor,InteriorColor,BodyStyle,FuelType,DriveType,Transmission,Doors,Category,Condition1,Year1,Make,Model,Trim1,UpdateTime,CreateTime
1,36060670,"SOLD CERTIFIED   PLUS HST AND LICENSING  TOYOTA CERTIFIED VEHICLE  FACTORY POWER TRAIN WARRANTY TILL DECEMBER 02,2020/100,000KM  *************************************************  Carproof History Report OR UCDA claims report provided with each vehicle.",40995.0000,5TDDKRFH4GS227454,U6839,19586,http://azr.cdnmedia.autotrader.ca/5/photos/import/201801/1023/1220/7183f669-d7fc-47b3-8312-7f9f640718d0.jpg,Blue,Black,SUV,Gas,AWD,Automatic,5,"Sport Utility",,2016,Toyota,Highlander,LIMITED,"2018-02-24 03:46:48","2018-02-24 03:45:51"
7,36377646,"SOLD CERTIFIED   PLUS HST AND LICENSING  TOYOTA CERTIFIED VEHICLE  FACTORY POWER TRAIN WARRANTY TILL MARCH 30,2020/100,000KM  *************************************************  Carproof History Report OR UCDA claims report provided with each vehicle.",22995.0000,5TDZK3DC1FS590741,31841A,82650,http://azr.cdnmedia.autotrader.ca/5/photos/import/201712/0301/3317/a19d7f75-0332-4652-8733-5e957c11f957.jpg,Grey,"Light Grey",,Gas,FWD,Automatic,4,"Minivan/Passenger Van",,2015,Toyota,Sienna,"7 PASSENGER","2018-02-24 03:46:48","2018-02-24 03:45:51"
9,36483882,"SOLD CERTIFIED   PLUS HST AND LICENSING  TOYOTA CERTIFIED VEHICLE  FACTORY POWER TRAIN WARRANTY TILL NOVEMBER 10,2019/100,000KM  *************************************************  Carproof History Report OR UCDA claims report provided with each vehicle.",18995.0000,2T1BURHE7FC272979,U6858A,27804,http://azr.cdnmedia.autotrader.ca/5/photos/import/201802/0722/3255/832e720b-9b53-4ef0-bf24-100ad5f23b50.jpg,Blue,"Dark Grey",Sedan,Gas,FWD,Automatic,4,Car,,2015,Toyota,Corolla,"S, NAVIGATION, LEATHER","2018-02-24 03:46:48","2018-02-24 03:45:51"
10,36483888,"SOLD CERTIFIED   PLUS HST AND LICENSING  TOYOTA CERTIFIED VEHICLE  FACTORY POWER TRAIN WARRANTY TILL AUGUST 20,2019/100,000KM  *************************************************  Carproof History Report OR UCDA claims report provided with each vehicle.",15995.0000,2T1KU4EE7EC136521,31438A,47325,http://azr.cdnmedia.autotrader.ca/5/photos/import/201802/0722/5013/7ec069ab-96e4-4178-ab54-a1f0dfd77212.jpg,White,"Light Grey",Hatchback,Gas,FWD,Automatic,5,Car,,2014,Toyota,Matrix,BASE,"2018-02-24 03:46:48","2018-02-24 03:45:51"
16,36662569,"SOLD CERTIFIED   PLUS HST AND LICENSING  TOYOTA CERTIFIED VEHICLE  FACTORY POWER TRAIN WARRANTY TILL APRIL 07,2020/100,000KM  *************************************************  Carproof History Report OR UCDA claims report provided with each vehicle.",24995.0000,2T3RFREV3FW317841,31878A,63620,http://azr.cdnmedia.autotrader.ca/5/photos/import/201802/0722/5109/138bbc7a-3f11-41d8-b76a-64853b0f0d93.jpg,Grey,"Dark Grey",SUV,Gas,AWD,Automatic,4,"Sport Utility",,2015,Toyota,RAV4,XLE,"2018-02-24 03:46:48","2018-02-24 03:45:51"
18,36769170,"SOLD CERTIFIED   PLUS HST AND LICENSING  TOYOTA CERTIFIED VEHICLE  FACTORY POWER TRAIN WARRANTY TILL DECEMBER 22,2020  *************************************************  Carproof History Report OR UCDA claims report provided with each vehicle.",16995.0000,2T1BURHE9GC581841,U6874,38954,http://azr.cdnmedia.autotrader.ca/5/photos/201801/1821/1900/86d01e9d-43ac-427d-b915-debee87852f9.jpg,Blue,"Dark Grey",Sedan,,FWD,"6 Speed Manual",4,Car,,2016,Toyota,Corolla,S,"2018-02-24 03:46:48","2018-02-24 03:45:51"
25,36939012,"SOLD CERTIFIED   PLUS HST AND LICENSING  TOYOTA CERTIFIED VEHICLE  FACTORY POWER TRAIN WARRANTY TILL   *************************************************  Carproof History Report OR UCDA claims report provided with each vehicle.",28995.0000,5TFMU4FN1DX014888,U6831A,19954,http://azr.cdnmedia.autotrader.ca/5/photos/import/201801/2714/4711/3b0281bf-5c44-47ba-81c0-bb052e304d5d.jpg,,"Dark Grey","Crew Cab",Gas,4x4,Automatic,4,Truck,,2013,Toyota,Tacoma,"V6 4X4 DOUBLE CAP","2018-02-24 03:46:48","2018-02-24 03:45:51"
26,36943275,"SOLD CERTIFIED   PLUS HST AND LICENSING  TOYOTA CERTIFIED VEHICLE  FACTORY POWER TRAIN WARRANTY TILL   *************************************************  COMPANY DEMO CASH PURCHASE OR REGULAR BANK FINANCING ONLY  Carproof History Report OR UCDA claims report provided with each vehicle.",49995.0000,,31393A,250,http://azr.cdnmedia.autotrader.ca/5/photos/201802/0120/2436/a2f121d9-4581-4fb1-b3b5-48e964dd73b1.jpg,White,"Dark Grey",,,4x4,Automatic,4,Truck,,2017,Toyota,Tundra,"Platinum 5.7L V8, 1794 EDITION","2018-02-24 03:46:48","2018-02-24 03:45:51"
30,36995810,"EXECUTIVE PACKAGE, LOADED, 10 Speakers Power Back Door Dynamic Radar Cruise Control Qi-compatible wireless smartphone charging with charge indicator light Garage Door Opener Clearance and Backup Sensors 120V/100-watt Power Outlet Power slide / tilt Moonroof Aluminum Roof Rails Remote Touch Interface Voice-activated SD Card Based Navigation System with Remote Touch Head-Up Display Auto Leveling Headlamp System LED Headlamps - High Beam Premium LED Headlamps Memory Mirrors Auto-dimming Side View Mirrors Pre Collision System Rear Cross Traffic Alert Lane Departure Alert Blind Spot Monitor System Auto High Beam Power Tilt & Telescopic Steering Wheel Heated Steering Wheel Leather Seat Surfaces Heated & Ventilated Front Seats Driver Seat Memory System Power Switches for Rear Seat Remote Release on Front Dashboard and in Cargo Area Woodgrain Trim Unique 18 Alloy Wheels Rain Sensing Wipers.      SOLD CERTIFIED   PLUS HST AND LICENSING    *************************************************  Carproof History Report OR UCDA claims report provided with each vehicle.",47995.0000,JTJBARBZ5H2125126,U6884,9702,http://azr.cdnmedia.autotrader.ca/5/photos/import/201802/0523/2844/8b850972-bcca-413c-8e34-c47e7397b43e.jpg,White,Black,SUV,Gas,AWD,Automatic,4,"Sport Utility",,2017,Lexus,"NX 200T","Executive Package","2018-02-24 03:46:48","2018-02-24 03:45:51"
35,37036363,"SOLD CERTIFIED   PLUS HST AND LICENSING  TOYOTA CERTIFIED VEHICLE  FACTORY POWER TRAIN WARRANTY TILL DECEMBER 28,2020/100,000KM  *************************************************  Carproof History Report OR UCDA claims report provided with each vehicle.",37995.0000,5TDDK3DC5FS127723,U6889,27655,http://azr.cdnmedia.autotrader.ca/5/photos/201802/0119/1153/39ec6eda-b405-4ca5-a361-ed57686f57d2.jpg,Beige,Beige,,,,Automatic,4,"Minivan/Passenger Van",,2015,Toyota,Sienna,"LIMITED AWD LOADED","2018-02-24 03:46:48","2018-02-24 03:45:51"
36,37036372,"SOLD CERTIFIED   PLUS HST AND LICENSING  TOYOTA CERTIFIED VEHICLE  FACTORY POWER TRAIN WARRANTY TILL NOVEMBER 07,2021/100,000KM  *************************************************  Carproof History Report OR UCDA claims report provided with each vehicle.",16995.0000,2T1BURHE2GC586895,U6890,39387,http://azr.cdnmedia.autotrader.ca/5/photos/201802/0120/3757/e23cf9fe-1db9-41ea-a86f-4a036f2391de.jpg,"Green ",Beige,Sedan,,FWD,Automatic,4,Car,,2016,Toyota,Corolla,"LE UPGRADE, SUN,ALLOY","2018-02-24 03:46:48","2018-02-24 03:45:51"
37,37066839,"SOLD CERTIFIED   PLUS HST AND LICENSING  TOYOTA CERTIFIED VEHICLE  FACTORY POWER TRAIN WARRANTY TILL OCTOBER 30,2019/100,000KM  *************************************************  Carproof History Report OR UCDA claims report provided with each vehicle.",37995.0000,5TDDKRFH9FS095533,U6891,75039,http://azr.cdnmedia.autotrader.ca/5/photos/201802/0119/4417/2661640c-09e9-47de-952a-c2a4e973e5bf.jpg,White,Black,SUV,Gas,AWD,Automatic,4,"Sport Utility",,2015,Toyota,Highlander,LIMITED,"2018-02-24 03:46:48","2018-02-24 03:45:51"
41,37108348,"SOLD CERTIFIED   PLUS HST AND LICENSING    PUSH BUTTON START, ALLOY, SUNROOF    *************************************************  Carproof History Report OR UCDA claims report provided with each vehicle.",9995.0000,2T1BU40E69C096719,31975A,107128,,SILVER,"Light Grey",Sedan,,FWD,Automatic,4,Car,,2009,Toyota,Corolla,"LE UPGRADE, PUSH START","2018-02-24 03:46:48","2018-02-24 03:45:51"
47,37279382,"SOLD CERTIFIED   PLUS HST AND LICENSING    *************************************************  Carproof History Report OR UCDA claims report provided with each vehicle.",11995.0000,2T1ME4EE2BC006857,U6895,69704,,Grey,,Hatchback,,FWD,Automatic,5,Car,,2011,Toyota,Matrix,XRS,"2018-02-24 03:46:48","2018-02-24 03:46:11"
