"	No",ADID,Make,Model,Trim,Year,Category,Description,Price,Vin,StockNo,OdoMeter,Thumbnail,ExteriorColor,InteriorColor,BodyStyle,FuelType,DriveType,Transmission,Doors,Condition,SoldTime,UpdateTime,CreateTime
1,36060670,Toyota,Highlander,LIMITED,2016,Sport Utility,"SOLD CERTIFIED   PLUS HST AND LICENSING  TOYOTA CERTIFIED VEHICLE  FACTORY POWER TRAIN WARRANTY TILL DECEMBER 02,2020/100,000KM  *************************************************  Carproof History Report OR UCDA claims report provided with each vehicle.",40995,5TDDKRFH4GS227454,U6839,19586,http://azr.cdnmedia.autotrader.ca/5/photos/import/201801/1023/1220/7183f669-d7fc-47b3-8312-7f9f640718d0.jpg,Blue,Black,SUV,Gas,AWD,Automatic,5,,2/6/2018,1/29/2018 15:52,11/1/2017 14:19
2,37066839,Toyota,Highlander,LIMITED,2015,Sport Utility,"SOLD CERTIFIED   PLUS HST AND LICENSING  TOYOTA CERTIFIED VEHICLE  FACTORY POWER TRAIN WARRANTY TILL OCTOBER 30,2019/100,000KM  *************************************************  Carproof History Report OR UCDA claims report provided with each vehicle.",37995,5TDDKRFH9FS095533,U6891,75039,http://azr.cdnmedia.autotrader.ca/5/photos/201802/0119/4417/2661640c-09e9-47de-952a-c2a4e973e5bf.jpg,White,Black,SUV,Gas,AWD,Automatic,4,,2/6/2018,2/1/2018 19:46,1/29/2018 15:56
3,36662569,Toyota,RAV4,XLE,2015,Sport Utility,"SOLD CERTIFIED   PLUS HST AND LICENSING  TOYOTA CERTIFIED VEHICLE  FACTORY POWER TRAIN WARRANTY TILL APRIL 07,2020/100,000KM  *************************************************  Carproof History Report OR UCDA claims report provided with each vehicle.",24995,2T3RFREV3FW317841,31878A,63620,http://azr.cdnmedia.autotrader.ca/5/photos/import/201802/0722/5109/138bbc7a-3f11-41d8-b76a-64853b0f0d93.jpg,Grey,Dark Grey,SUV,Gas,AWD,Automatic,4,,2/14/2018,2/7/2018 22:46,12/21/2017 20:28
4,36483882,Toyota,Corolla,"S, NAVIGATION, LEATHER",2015,Car,"SOLD CERTIFIED   PLUS HST AND LICENSING  TOYOTA CERTIFIED VEHICLE  FACTORY POWER TRAIN WARRANTY TILL NOVEMBER 10,2019/100,000KM  *************************************************  Carproof History Report OR UCDA claims report provided with each vehicle.",18995,2T1BURHE7FC272979,U6858A,27804,http://azr.cdnmedia.autotrader.ca/5/photos/import/201802/0722/3255/832e720b-9b53-4ef0-bf24-100ad5f23b50.jpg,Blue,Dark Grey,Sedan,Gas,FWD,Automatic,4,,2/20/2018,2/7/2018 22:27,12/6/2017 17:25
5,36995810,Lexus,NX 200T,Executive Package,2017,Sport Utility,"EXECUTIVE PACKAGE, LOADED, 10 Speakers Power Back Door Dynamic Radar Cruise Control Qi-compatible wireless smartphone charging with charge indicator light Garage Door Opener Clearance and Backup Sensors 120V/100-watt Power Outlet Power slide / tilt Moonroof Aluminum Roof Rails Remote Touch Interface Voice-activated SD Card Based Navigation System with Remote Touch Head-Up Display Auto Leveling Headlamp System LED Headlamps - High Beam Premium LED Headlamps Memory Mirrors Auto-dimming Side View Mirrors Pre Collision System Rear Cross Traffic Alert Lane Departure Alert Blind Spot Monitor System Auto High Beam Power Tilt & Telescopic Steering Wheel Heated Steering Wheel Leather Seat Surfaces Heated & Ventilated Front Seats Driver Seat Memory System Power Switches for Rear Seat Remote Release on Front Dashboard and in Cargo Area Woodgrain Trim Unique 18 Alloy Wheels Rain Sensing Wipers.      SOLD CERTIFIED   PLUS HST AND LICENSING    *************************************************  Carproof History Report OR UCDA claims report provided with each vehicle.",47995,JTJBARBZ5H2125126,U6884,9702,http://azr.cdnmedia.autotrader.ca/5/photos/import/201802/0523/2844/8b850972-bcca-413c-8e34-c47e7397b43e.jpg,White,Black,SUV,Gas,AWD,Automatic,4,,2/20/2018,2/5/2018 23:23,1/23/2018 14:44
6,36483888,Toyota,Matrix,BASE,2014,Car,"SOLD CERTIFIED   PLUS HST AND LICENSING  TOYOTA CERTIFIED VEHICLE  FACTORY POWER TRAIN WARRANTY TILL AUGUST 20,2019/100,000KM  *************************************************  Carproof History Report OR UCDA claims report provided with each vehicle.",15995,2T1KU4EE7EC136521,31438A,47325,http://azr.cdnmedia.autotrader.ca/5/photos/import/201802/0722/5013/7ec069ab-96e4-4178-ab54-a1f0dfd77212.jpg,White,Light Grey,Hatchback,Gas,FWD,Automatic,5,,2/22/2018,2/7/2018 22:45,12/6/2017 17:25
7,36956323,Toyota,4Runner,LIMITED 7PASSENGER,2017,Sport Utility,SOLD CERTIFIED   PLUS HST AND LICENSING  TOYOTA CERTIFIED VEHICLE  FACTORY POWER TRAIN WARRANTY TILL   *************************************************  COMPANY DEMO  Carproof History Report OR UCDA claims report provided with each vehicle.,46995,,31376A,13950,http://azr.cdnmedia.autotrader.ca/5/photos/201802/0819/3346/78f2fdfc-de6d-45d1-a6c3-ea9f06a67e09.jpg,White,Black,SUV,Gas,4x4,5 Speed Automatic,4,,2/27/2018,2/8/2018 19:33,1/19/2018 17:19
8,36256558,Toyota,Corolla,S,2015,Car,"SOLD CERTIFIED     PLUS HST AND LICENSING    TOYOTA CERTIFIED VEHICLE    FACTORY POWER TRAIN WARRANTY TILL JULY 21,2020/100,000KM    *************************************************    Carproof History Report OR UCDA claims report provided with each vehicle.",14995,2T1BURHE3FC435417,U6848,78735,http://azr.cdnmedia.autotrader.ca/5/photos/import/201802/0515/4531/3825bf16-6ad8-4f4d-b32d-9f55de28f713.jpg,Black,Dark Grey,Sedan,Gas,FWD,Automatic,4,,2/28/2018,2/14/2018 14:06,11/17/2017 18:20
9,36924652,Lexus,IS 250,F SPORT PACKAGE AWD,2014,Car,SOLD CERTIFIED   PLUS HST AND LICENSING    *************************************************  Carproof History Report OR UCDA claims report provided with each vehicle.,29995,JTHCF1D27E5007968,U6875,35311,http://azr.cdnmedia.autotrader.ca/5/photos/import/201801/2714/4432/827d654c-96f1-47b6-b7f2-ab235ae4f53a.jpg,White,Black,Sedan,Gas,AWD,Automatic,4,,3/1/2018,2/7/2018 22:43,1/17/2018 15:35
10,36362942,Toyota,Corolla,LE,2015,Car,SOLD CERTIFIED     PLUS HST AND LICENSING    TOYOTA CERTIFIED VEHICLE    FACTORY POWER TRAIN WARRANTY TILL     *************************************************    Carproof History Report OR UCDA claims report provided with each vehicle.,14995,2T1BURHE2FC419693,31798A,63744,http://azr.cdnmedia.autotrader.ca/5/photos/import/201803/0116/2925/e851f853-7134-4e6a-9981-6039cc4e8c6a.jpg,Burgundy ,Beige,Sedan,Gas,FWD,Automatic,4,,3/5/2018,3/1/2018 16:24,11/27/2017 16:35
11,36483906,Toyota,RAV4,LE,2016,Sport Utility,"SOLD CERTIFIED   PLUS HST AND LICENSING  TOYOTA CERTIFIED VEHICLE  FACTORY POWER TRAIN WARRANTY TILL MARCH 17,2021/100,000KM  *************************************************  Carproof History Report OR UCDA claims report provided with each vehicle.",21495,2T3ZFREV7GW265499,U6860,51589,http://azr.cdnmedia.autotrader.ca/5/photos/import/201802/0722/5246/84033af6-1676-4e35-85cf-fc12e159081b.jpg,Black,Dark Grey,SUV,Gas,FWD,6 Speed Automatic,4,,3/5/2018,2/7/2018 22:48,12/6/2017 17:28
12,36540905,Hyundai,Elantra,Sport Appearance,2016,Car,SOLD CERTIFIED     PLUS HST AND LICENSING        *************************************************    Carproof History Report OR UCDA claims report provided with each vehicle.,12495,KMHDH4AE4GU553390,U6854A,54394,http://azr.cdnmedia.autotrader.ca/5/photos/import/201802/0722/4027/2614eb81-0cbb-44cc-8880-9b3bf1087285.jpg,Grey,Black,Sedan,Gas,FWD,Automatic,4,,3/6/2018,3/5/2018 16:41,12/11/2017 14:40
13,36585746,Toyota,C-HR,"XLE PREMIUM, ALLOY,PUSH BUTTON",2018,Sport Utility,"SOLD CERTIFIED   PLUS HST AND LICENSING  TOYOTA CERTIFIED VEHICLE  FACTORY POWER TRAIN WARRANTY TILL JULY 12,2022/100,000KM  *************************************************  Carproof History Report OR UCDA claims report provided with each vehicle.",24995,NMTKHMBX6JR018776,U6868,12910,http://azr.cdnmedia.autotrader.ca/5/photos/import/201802/0614/2706/eb3ee929-f5e0-4b83-a6be-1c8650be1190.jpg,Grey,Dark Grey,SUV,Gas,FWD,Automatic,4,,3/9/2018,2/6/2018 14:21,12/14/2017 20:00
14,37345782,Toyota,Highlander,V6 Limited (A5),2013,Sport Utility,"SOLD CERTIFIED PLUS HST AND LICENSING FACTORY POWER TRAIN WARRANTY TILL JANUARY 20,2019/100,000KM*************************************************Carproof History Report OR UCDA claims report provided with each vehicle.",26995,5TDDK3EH1DS245985,31881A,84108,http://azr.cdnmedia.autotrader.ca/5/photos/import/201802/2507/1811/d23ce587-c05f-4152-8eed-1420aeb6997e.jpg,White,Black,SUV,Gas,AWD,Automatic,4,,3/9/2018,3/9/2018 2:30,2/20/2018 21:06
15,36337334,Toyota,RAV4,LE,2017,Sport Utility,"SOLD CERTIFIED     PLUS HST AND LICENSING    TOYOTA CERTIFIED VEHICLE    FACTORY POWER TRAIN WARRANTY TILL NOVEMBER 28,2021/100,000KM    *************************************************    FORMER DAILY RENTAL VEHICLE    Carproof History Report OR UCDA claims report provided with each vehicle.",23995,2T3BFREVXHW573639,U6850,32639,http://azr.cdnmedia.autotrader.ca/5/photos/import/201801/1023/1139/de5dc78d-2e75-4080-822e-34b85b5b7f07.jpg,SILVER,Dark Grey,SUV,Gas,AWD,Automatic,4,,3/12/2018,3/5/2018 16:41,11/24/2017 15:47
16,37008480,Hyundai,Genesis Coupe,2.0T GT LEATHER SUNROOF,2010,Car,SOLD CERTIFIED   PLUS HST AND LICENSING    *************************************************  Carproof History Report OR UCDA claims report provided with each vehicle.,11995,KMHHT6KD7AU029336,U6887,108147,http://azr.cdnmedia.autotrader.ca/5/photos/import/201801/2714/4642/0f90213e-a55f-43a8-b1be-bac08951d5d7.jpg,White,Black,Coupe,Gas,RWD,Automatic,2,,3/13/2018,1/27/2018 14:41,1/24/2018 14:42
17,37557399,Toyota,Corolla,LE,2014,Car,"SOLD CERTIFIED   PLUS HST AND LICENSING TOYOTA CERTIFIED VEHICLE FACTORY POWER TRAIN WARRANTY TILL MARCH 29,2019/100.000KM ************************************************* Carproof History Report OR UCDA claims report provided with each vehicle.",16995,2T1BURHE8EC122460,31589A,24921,http://azr.cdnmedia.autotrader.ca/5/photos/201803/1415/3050/6b06b248-a586-41d6-827d-85bf07153d68.jpg,Grey,Dark Grey,Sedan,Gas,FWD,Automatic,4,,3/19/2018,3/14/2018 15:36,3/6/2018 14:14
18,36985110,Toyota,Venza,"Base, ROOF LEATHER",2014,Sport Utility,"SOLD CERTIFIED   PLUS HST AND LICENSING  TOYOTA CERTIFIED VEHICLE  FACTORY POWER TRAIN WARRANTY TILL MARCH 27,2019/100,000KM  *************************************************  Carproof History Report OR UCDA claims report provided with each vehicle.",19995,4T3ZA3BB6EU081397,U6883,57961,http://azr.cdnmedia.autotrader.ca/5/photos/import/201801/2815/0432/a0512d6a-6f49-4784-8902-70ae2aff23a5.jpg,White,Light Grey,SUV,Gas,FWD,Automatic,4,,3/19/2018,1/28/2018 14:59,1/22/2018 17:53
19,37780978,Toyota,RAV4,LE (A6) FWD,2013,Sport Utility,"SOLD CERTIFIED   PLUS HST AND LICENSING  FACTORY POWER TRAIN WARRANTY TILL AUGUST 15, 2018/100,000KM  *************************************************  Carproof History Report OR UCDA claims report provided with each vehicle.",18995,2T3ZFREV3DW013504,32066A,55371,,Grey,Dark Grey,SUV,Gas,FWD,Automatic,4,,3/21/2018,3/20/2018 13:42,3/19/2018 14:59
20,36617693,Toyota,Camry,LE,2014,Car,SOLD CERTIFIED     PLUS HST AND LICENSING    FACTORY POWER TRAIN WARRANTY TILL     *************************************************    Carproof History Report OR UCDA claims report provided with each vehicle.,13995,4T1BF1FK8EU755172,31685A,97228,http://azr.cdnmedia.autotrader.ca/5/photos/import/201802/0722/2416/74f6563f-802a-4bd3-9a3d-62cce11bd250.jpg,White,Beige,Sedan,Gas,FWD,Automatic,4,,3/22/2018,3/15/2018 16:16,12/18/2017 14:43
21,36858377,Toyota,Corolla,CE,2015,Car,"SOLD CERTIFIED     PLUS HST AND LICENSING    TOYOTA CERTIFIED VEHICLE    FACTORY POWER TRAIN WARRANTY TILL AUGUST 01,2020/100,000KM    *************************************************    Carproof History Report OR UCDA claims report provided with each vehicle.",14995,2T1BURHE4FC473710,U6878,26822,http://azr.cdnmedia.autotrader.ca/5/photos/import/201803/2014/3031/3a015250-3c38-442b-8ff2-6a5e194972e4.jpg,Grey,Dark Grey,Sedan,Gas,FWD,Automatic,4,,3/27/2018,3/20/2018 14:29,1/11/2018 14:26
22,36858381,Toyota,Camry,"XSE, WITH NAVIGATION",2017,Car,"SOLD CERTIFIED   PLUS HST AND LICENSING  TOYOTA CERTIFIED VEHICLE  FACTORY POWER TRAIN WARRANTY TILL MARCH 31,2022/100,000KM  *************************************************  Carproof History Report OR UCDA claims report provided with each vehicle.",25995,4T1BF1FK1HU385221,U6879,3868,http://azr.cdnmedia.autotrader.ca/5/photos/import/201803/2014/2851/0f27ec71-6e31-4a1f-ada1-4e850770122a.jpg,White,Black,Sedan,Gas,FWD,Automatic,4,,3/27/2018,3/20/2018 14:24,1/11/2018 14:27
23,37482378,Toyota,RAV4,LE FWD,2015,Sport Utility,"SOLD CERTIFIED   PLUS HST AND LICENSING  TOYOTA CERTIFIED VEHICLE  FACTORY POWER TRAIN WARRANTY TILL AUGUAST 28, 2020/100,000KM  *************************************************  Carproof History Report OR UCDA claims report provided with each vehicle.",20995,2T3ZFREV0FW216515,31597A,44773,http://azr.cdnmedia.autotrader.ca/5/photos/import/201803/2013/5227/d078e333-edbb-4030-a1fe-a9ed83a046bf.jpg,Burgundy ,Beige,SUV,Gas,FWD,Automatic,4,,4/4/2018,3/20/2018 13:47,3/1/2018 16:33
24,37626736,Toyota,Prius,"TECH,LEATHER,NAVI",2014,Car,"SOLD CERTIFIED   PLUS HST AND LICENSING TOYOTA CERTIFIED VEHICLE FACTORY POWER TRAIN WARRANTY TILL APRIL 07,2019/100,000KM ************************************************* Carproof History Report OR UCDA claims report provided with each vehicle.",20995,JTDKN3DU9E1789341,U6901,70526,http://azr.cdnmedia.autotrader.ca/5/photos/201803/2216/1112/24b1b8f4-39f7-4450-99df-caf5f289a384.jpg,Grey,Dark Grey,Hatchback,Gasoline Hybrid,FWD,Automatic,5,,4/4/2018,3/22/2018 16:13,3/9/2018 22:33
25,37626740,Toyota,Venza,Base V6 AWD,2014,Sport Utility,"SOLD CERTIFIED   PLUS HST AND LICENSING  TOYOTA CERTIFIED VEHICLE FACTORY POWER TRAIN WARRANTY TILL MAY 17,2019/100,000KM ************************************************* Carproof History Report OR UCDA claims report provided with each vehicle.",19995,4T3BK3BBXEU105778,32047A,85102,http://azr.cdnmedia.autotrader.ca/5/photos/201803/2215/1021/95fcde81-16fe-41fa-8cf3-0465cc77334d.jpg,Grey,Dark Grey,SUV,Gas,AWD,Automatic,4,,4/4/2018,3/22/2018 15:17,3/9/2018 22:34
26,36832541,Honda,Civic,"EX-L Navi, LEATHER, SUN(A5)",2013,Car,SOLD CERTIFIED     PLUS HST AND LICENSING        *************************************************    Carproof History Report OR UCDA claims report provided with each vehicle.,12995,2HGFG3B95DH004602,U6862A,124833,http://azr.cdnmedia.autotrader.ca/5/photos/import/201803/2014/3535/43964055-68f8-46c2-b28c-a6d6c2d990fc.jpg,Black,Black,Coupe,Gas,FWD,Automatic,2,,4/5/2018,4/4/2018 18:25,1/9/2018 16:30
27,37009819,Toyota,RAV4,LE AWD,2014,Sport Utility,SOLD CERTIFIED     PLUS HST AND LICENSING    TOYOTA CERTIFIED VEHICLE    FACTORY POWER TRAIN WARRANTY TILL     *************************************************    Carproof History Report OR UCDA claims report provided with each vehicle.,18995,2T3BFREV9EW134430,U6888,72562,http://azr.cdnmedia.autotrader.ca/5/photos/import/201801/2615/4817/f2f52d99-dfab-405f-a146-9129fe36c3cc.jpg,Grey,Dark Grey,SUV,Gas,AWD,Automatic,4,,4/7/2018,3/20/2018 14:13,1/24/2018 15:34
28,36292971,Toyota,RAV4,LE,2017,Sport Utility,"SOLD CERTIFIED     PLUS HST AND LICENSING    FACTORY POWER TRAIN WARRANTY TILL NOVEMBER 23,2021/100,000KM    *************************************************    FORMER DAILY RENTAL VEHICLE    Carproof History Report OR UCDA claims report provided with each vehicle.",22995,2T3BFREV8HW573221,U6849,48368,http://azr.cdnmedia.autotrader.ca/5/photos/import/201801/1023/1154/4858ce32-250d-4ea1-823c-01efeb1ac271.jpg,Grey,Dark Grey,SUV,Gas,AWD,Automatic,4,,4/9/2018,4/6/2018 15:37,11/21/2017 16:49
